,front-end_ctn_latency,front-end_ctn_cpu,front-end_ctn_mem,front-end_ctn_net_in,front-end_ctn_net_out,user_ctn_latency,user_ctn_write,catalogue_ctn_latency,catalogue_ctn_cpu,catalogue_ctn_mem,catalogue_ctn_net_in,catalogue_ctn_net_out,orders_ctn_latency,orders_ctn_cpu,orders_ctn_mem,orders_ctn_write,orders_ctn_net_in,orders_ctn_net_out,carts_ctn_latency,carts_ctn_cpu,carts_ctn_mem,carts_ctn_write,carts_ctn_net_in,carts_ctn_net_out,payment_ctn_latency,payment_ctn_cpu,payment_ctn_mem,payment_ctn_net_in,payment_ctn_net_out,shipping_ctn_latency,shipping_ctn_cpu,shipping_ctn_mem,shipping_ctn_net_in,shipping_ctn_net_out,orders_ctn_read,carts_ctn_read,label,class
150,0.6413674573345135,0.6472840217222767,0.9500779058896848,0.5764734594828119,0.5794391064608687,0.9181314115032824,0.5187114544039279,0.94835460966343,0.6647031620558803,0.0815789473684205,0.6381990056590404,0.637051077770263,0.4660776617514694,0.7128995805426622,0.5123674911660601,0.6491299977165592,0.8063662711072752,0.8034839740526973,0.8778316324887938,0.7542955998021601,0.9999624920295564,0.6860432795087092,0.7886274407131291,0.8006354098508195,0.3350698591113569,0.8237785586040292,0.181247383842612,0.8103571233488319,0.8130464705907317,0.9693240451514152,0.7202460869655896,0.9999593032720168,0.787422914187579,0.773921058341187,0.0,0.0,1,1
151,0.6586146106760766,0.6890251199371786,0.9500779058896848,0.7968387767187848,0.8031832752452123,0.9181314115032824,0.5847451906851164,0.94835460966343,0.6282546261209307,0.0815789473684205,0.8055305936294664,0.8058848263390952,0.4660776617514694,0.7021216351174946,0.5123674911660601,0.5806909033643769,0.8063662711072752,0.8034839740526973,0.8778316324887938,0.7542955998021601,0.9999624920295564,0.7243327371696161,0.7886274407131291,0.8006354098508195,0.3382789388340637,0.9256824579817828,0.181247383842612,0.8103571233488319,0.8130464705907317,0.9693240451514152,0.7034448542247177,0.9999593032720168,0.787422914187579,0.773921058341187,0.0,0.0,1,1
152,0.6586146106760766,0.8030153691118523,0.8274851978809594,0.7968387767187848,0.8031832752452123,0.9181314115032824,0.5847451906851164,0.94835460966343,0.7586171730025038,0.0815789473684205,0.8055305936294664,0.8058848263390952,0.507520145772233,0.6961261964967802,0.3144876325088717,0.2849136374997817,0.8001236611374702,0.7976348293333866,0.8628319977780174,0.7509236402812824,0.9999624920295564,0.6758186485104909,0.7812583626925528,0.7977077985076133,0.3382789388340637,0.9985580037319712,0.181247383842612,0.8067383880159582,0.8098973661963947,0.9693240451514152,0.7030169943187923,0.9999593032720168,0.6716722299145029,0.6618686147821136,0.0,0.0,1,1
153,0.6586146106760766,0.8030153691118523,0.8274851978809594,0.7968387767187848,0.8031832752452123,0.9567191078078814,0.5847451906851164,0.9662543180745558,0.647564564876054,0.0815789473684205,0.8055305936294664,0.8058848263390952,0.507520145772233,0.6832258174109327,0.5865724381625341,0.2849136374997817,0.8001236611374702,0.7976348293333866,0.8628319977780174,0.7504943269034922,0.9999624920295564,0.3635397504115669,0.7812583626925528,0.7977077985076133,0.3382789388340637,0.9989967329759112,0.181247383842612,0.8067383880159582,0.8098973661963947,0.9896805066770876,0.697999896109131,0.9999593032720168,0.78053772977485,0.7691451320788047,0.0,0.0,1,1
154,0.6807735605473377,0.8021466698470353,0.8232471174820817,0.7896665734934236,0.7972419987681413,0.9567191078078814,0.5847451906851164,0.9662543180745558,0.6152124037814382,0.0815789473684205,0.654757719781651,0.6540675054432036,0.507520145772233,0.6832258174109327,0.5865724381625341,0.290897012650353,0.8001236611374702,0.7976348293333866,0.8628319977780174,0.7504943269034922,0.9999624920295564,0.4084783502240717,0.7812583626925528,0.7977077985076133,0.5809683144290261,0.935073122336987,0.181247383842612,0.8002434837781582,0.8083639376908072,0.9896805066770876,0.702470072720381,0.9999593032720168,0.78053772977485,0.7691451320788047,0.0,0.0,1,1
155,0.6807735605473377,0.6881420370831496,0.8526643814272359,0.7924404362443449,0.7990632105519563,0.9567191078078814,0.5409704653633826,0.9662543180745558,0.765167815792591,0.0815789473684205,0.7997717493794603,0.7994421294458023,0.5186409161956578,0.6809899020798243,0.5865724381625341,0.290897012650353,0.7971219444340114,0.7949436321575116,0.8656690894042365,0.7482529564387453,0.9999624920295564,0.4220857582472981,0.7812583626925528,0.7977077985076133,0.5809683144290261,0.9987161358556104,0.181247383842612,0.7846826051200961,0.79846832949614,0.9896805066770876,0.4528821093496258,0.9999593032720168,0.7761842103898806,0.7691952339211616,0.0,0.0,1,1
156,0.6807735605473377,0.7218328361884034,0.8526643814272359,0.7924404362443449,0.7990632105519563,0.9970177534079144,0.4843602063794527,0.9705611637063468,0.765167815792591,0.0815789473684205,0.7868899223082559,0.7876144531093218,0.5186409161956578,0.5528820271763011,0.5477031802120109,0.2958168616366055,0.7971219444340114,0.7949436321575116,0.8656690894042365,0.7469997044560545,0.9999624920295564,0.5144744389384109,0.7682730572640648,0.7907061214790182,0.5809683144290261,0.9987161358556104,0.181247383842612,0.7846826051200961,0.79846832949614,0.9632387152435457,0.5107071420086269,0.9999593032720168,0.7741969114480775,0.7812111491230221,0.0,0.0,1,1
157,0.6777330748633762,0.8024526111623748,0.8266749766282331,0.5342118671500155,0.537623650819361,0.9970177534079144,0.449570564882327,0.9705611637063468,0.771665939133126,0.0815789473684205,0.7922699193233514,0.7929522102479811,0.5186409161956578,0.5789341886753687,0.5477031802120109,0.6198090120674992,0.7971219444340114,0.7949436321575116,0.8656690894042365,0.7489567761056447,0.9999624920295564,0.5144744389384109,0.7682730572640647,0.790706121479018,0.8800098785422246,0.9981436351887268,0.181247383842612,0.797308151017805,0.8153451769902544,0.9632387152435457,0.5625198659017185,0.9999593032720168,0.7741969114480775,0.7812111491230221,0.0,0.0,1,1
158,0.6777330748633762,0.6678337028481127,0.8266749766282331,0.6006206121185044,0.6044565201578196,0.9970177534079144,0.449570564882327,0.9705611637063468,0.6459665944976172,0.0815789473684205,0.7922699193233516,0.7929522102479812,0.5066374004644166,0.6845942068028572,0.7632508833922884,0.6198090120674992,0.7967615621765912,0.7960912261291626,0.8721257212627479,0.7489567761056447,0.9999624920295564,0.5131453706741961,0.7682730572640647,0.790706121479018,0.8800098785422246,0.9060928024300018,0.181247383842612,0.797308151017805,0.8153451769902544,0.9632387152435457,0.6387335894986844,0.9999593032720168,0.7704468285379779,0.7790847097546749,0.0,0.0,1,1
159,0.6777330748633762,0.7002029054199974,0.801869741352446,0.8031286094179475,0.8087030683918979,0.942877923077579,0.449570564882327,0.9650122530429608,0.680904731852493,0.0815789473684205,0.7964041631733472,0.7963225480899905,0.5066374004644166,0.6160968536021774,0.7632508833922884,0.7073853571099863,0.7967615621765912,0.7960912261291626,0.8721257212627479,0.7545906804874821,0.9999624920295564,0.4227004029342526,0.7682730572640647,0.790706121479018,0.8800098785422246,0.6330557535759722,0.181247383842612,0.8040597686714521,0.8268280179514059,0.9677286098379898,0.607656989679806,0.9999593032720168,0.7704468285379779,0.7790847097546749,0.0,0.0,1,1
