,front-end_ctn_latency,front-end_ctn_cpu,front-end_ctn_mem,front-end_ctn_net_in,front-end_ctn_net_out,user_ctn_latency,user_ctn_write,catalogue_ctn_latency,catalogue_ctn_cpu,catalogue_ctn_mem,catalogue_ctn_net_in,catalogue_ctn_net_out,orders_ctn_latency,orders_ctn_cpu,orders_ctn_mem,orders_ctn_read,orders_ctn_write,orders_ctn_net_in,orders_ctn_net_out,carts_ctn_latency,carts_ctn_cpu,carts_ctn_mem,carts_ctn_read,carts_ctn_write,carts_ctn_net_in,carts_ctn_net_out,payment_ctn_latency,payment_ctn_cpu,payment_ctn_mem,payment_ctn_net_in,payment_ctn_net_out,shipping_ctn_latency,shipping_ctn_cpu,shipping_ctn_mem,shipping_ctn_net_in,shipping_ctn_net_out,label,class
206,0.174985366670692,0.4386953457040604,0.7582822085889571,0.4137159379667323,0.4146048559178391,0.0266438088911033,0.6361334644339349,0.9431167910431936,0.3768996498402316,0.0,0.4145209046214551,0.4169258275769196,0.2454180022524597,0.4325421895520058,0.7945205479452397,0.0,0.1969819508012962,0.4309693555447945,0.4120920883700985,0.972946925381969,0.4191141081549183,0.9976534488045103,0.0,0.3385266868535162,0.3289139264030465,0.3510178251436651,0.1672508330115101,0.3990854363119388,0.4873294346978554,0.4093594973381347,0.4109524767704978,0.8729116834756235,0.309507823682826,0.0550458715595141,0.3128517289898475,0.3133966915472804,1,1
207,0.1780813184867271,0.436752812055672,0.7378694924707192,0.4124067003899163,0.4142989569340005,0.0266438088911033,0.8594112678969503,0.9431167910431936,0.4146472208175994,0.0,0.4145209046214551,0.4169258275769196,0.2454180022524597,0.43046928162996,0.8082191780821404,0.0,0.1956560244057748,0.428172784981186,0.408403159176189,0.972946925381969,0.4114315772564601,0.9976534488045103,0.0,0.3416742159582102,0.3918502438115545,0.4206806039252039,0.2021400869568101,0.3986333200359978,0.4873294346978554,0.4044982379533753,0.4122088266998648,0.8729116834756235,0.327188784738919,0.0550458715595141,0.3732665225466829,0.3810112033003918,1,1
208,0.1780813184867271,0.4309306951335394,0.7378694924707192,0.4124067003899163,0.4142989569340005,0.0266438088911033,0.8594112678969503,0.9431167910431936,0.4167483111950155,0.0,0.3409454910781841,0.3426987407233203,0.2478690219074144,0.424355869380851,0.4897260273972961,0.0,0.1842932015467372,0.4313682350164295,0.4084823072683831,0.9528803555613248,0.407384870293419,0.9976534488045103,0.0,0.3348258976599975,0.3918502438115545,0.4206806039252039,0.2021400869568101,0.3986333200359978,0.4873294346978554,0.4044982379533753,0.4122088266998648,0.8729116834756235,0.358194578312958,0.0550458715595141,0.3699967032625937,0.3808258052985243,1,1
209,0.1780813184867271,0.4309306951335394,0.7378694924707192,0.4143050898596808,0.4173047479780032,0.0267927127867581,0.8594112678969501,0.9310646145981124,0.3649191361198676,0.0,0.409665706039824,0.4117882977122603,0.2478690219074144,0.4249581302479059,0.5102739726027039,0.0,0.1842932015467372,0.4313682350164295,0.4084823072683831,0.9528803555613248,0.3772679384427584,0.9976534488045103,0.0,0.4182528175905796,0.3926868680467802,0.4207074160385783,0.2021400869568101,0.3886780867716213,0.4873294346978554,0.4044982379533753,0.4122088266998649,0.9053288489956696,0.358194578312958,0.0550458715595141,0.3699967032625937,0.3808258052985243,1,1
210,0.1767630970921684,0.4285834925563437,0.7195761293920802,0.4126452405869591,0.4151248810845738,0.0267927127867581,0.6908744830838347,0.9310646145981124,0.3479228522536665,0.0,0.4111319536531316,0.4130331230658031,0.2478690219074144,0.4277584634021567,0.6712328767123381,0.0,0.3507056836200753,0.430490909143613,0.4105303401273852,0.9528803555613248,0.4124920419942049,0.9976534488045103,0.0,0.4182528175905796,0.3954354768622033,0.42461421896204,0.276579237881619,0.4250208241220382,0.4873294346978554,0.4057721572711243,0.4007911782652715,0.9053288489956696,0.3609903955378115,0.0550458715595141,0.3707658812437506,0.3971792455062304,1,1
211,0.1767630970921684,0.4299841869766295,0.7195761293920802,0.4126452405869591,0.4151248810845737,0.0267927127867581,0.7351490622788392,0.9310646145981124,0.3849086045858592,0.0,0.4111319536531316,0.4130331230658031,0.2463426343790805,0.4277584634021567,0.6712328767123381,0.0,0.3507056836200753,0.4251364580101472,0.4077297938530349,0.9639464943959768,0.4119936397865515,0.9976534488045103,0.0,0.4457836355007393,0.3954354768622033,0.42461421896204,0.276579237881619,0.4223803842722088,0.4873294346978554,0.3145261267955795,0.2882433308369821,0.9053288489956696,0.260764366220259,0.0550458715595141,0.3749317756594657,0.4003931473247617,1,1
212,0.1767630970921684,0.4299841869766295,0.7195761293920802,0.4094253411040228,0.4119973679775833,0.0243413963230332,0.7351490622788392,0.9203753797750592,0.4170077012910458,0.0,0.4076093229935619,0.4103400592473102,0.2463426343790805,0.3943421514149196,0.6712328767123381,0.0,0.3843127823336489,0.4259933089918754,0.4104398955023273,0.9639464943959768,0.4101157987170628,0.9976534488045103,0.0,0.3568439985157557,0.3153654463125703,0.3359935546481591,0.276579237881619,0.4215043758564299,0.4873294346978554,0.2779355062415656,0.2431104570236569,0.9218803853173332,0.260764366220259,0.0550458715595141,0.368009672943154,0.3934681994798567,1,1
213,0.1783570998882995,0.4203760868213442,0.773452314556609,0.3308317758818136,0.3315861818794982,0.0243413963230332,0.6039237496164465,0.9203753797750592,0.3700208062770353,0.0,0.4076093229935619,0.4103400592473102,0.2463426343790805,0.4364251083742755,0.8595890410958873,0.0,0.3805946583687219,0.4259933089918754,0.4104398955023273,0.9639464943959768,0.4101157987170628,0.9976534488045103,0.0,0.429807044190543,0.2805468097129489,0.2962841867880172,0.2820239841804983,0.4281847013178527,0.4873294346978554,0.4013278868474253,0.3956773316002214,0.9218803853173332,0.2941791826744154,0.0550458715595141,0.368009672943154,0.3934681994798567,1,1
214,0.1783570998882995,0.4203760868213442,0.773452314556609,0.4085795000603501,0.4097574257796886,0.0243413963230332,0.6948006855932517,0.9203753797750592,0.4057296669218654,0.0,0.4076093229935619,0.4103400592473102,0.2413158445615466,0.4364251083742755,0.8595890410958873,0.0,0.3805946583687219,0.4264761923530527,0.412426626237966,0.981070917036256,0.3752513161259209,0.9976534488045103,0.0,0.429807044190543,0.3918366464138996,0.4153511417997656,0.2820239841804983,0.3896780361122501,0.4873294346978554,0.4013278868474253,0.3956773316002214,0.9218803853173332,0.3743076197966501,0.0550458715595141,0.3113125882769439,0.3272108189720374,1,1
215,0.1783570998882995,0.3829863040903539,0.7664249860568875,0.4076186019553559,0.4073964387882352,0.0184546208072678,0.7451781657735321,0.8974583640108663,0.4059503117590417,0.0,0.4069548725351087,0.4098952434562392,0.2413158445615466,0.4364251083742755,0.8595890410958873,0.0,0.3805946583687219,0.3481633289228932,0.3399473713814955,0.981070917036256,0.3761605101712014,0.9976534488045103,0.0,0.4156946741037874,0.3948334609560088,0.4162992405803589,0.2820239841804983,0.3698792595622731,0.4873294346978554,0.4013278868474253,0.3956773316002214,0.9138984220091892,0.3780021801413688,0.0550458715595141,0.3901413315369409,0.4069866935014387,1,1
