,food_cpu,food_rx,food_tx,inside_cpu,inside_rx,inside_tx,assurance_cpu,assurance_rx,assurance_tx,train_cpu,train_rx,train_tx,order_other_cpu,order_other_rx,order_other_tx,food_map_cpu,food_map_rx,food_map_tx,label,class
112,0.0284093247423652,0.0,0.0,0.0919280617317624,0.0,0.0,0.0008743353976721,0.0,0.0,0.1203059374040902,0.0,0.0,0.0023742305312795,0.0,0.0,0.9726903946901996,0.0,0.0,0,1
113,0.0645035513813228,0.0,0.0,0.0919280617317624,0.0,0.0,0.0008743353976721,0.0,0.0,0.1203059374040902,0.0,0.0,0.0034284726625512,0.0,0.0,0.9726903946901996,0.0,0.0,0,1
115,0.0933302639925167,0.0,0.0,0.0486437885493563,0.0,0.0,0.0036063345455546,0.0,0.0,0.2810816104019138,0.0,0.0,0.0023984505896795,0.0,0.0,0.981360192562352,0.0730966394531991,0.0307542894140498,0,1
116,0.0933302639925167,0.0,0.0,0.0983575004619323,0.4268292682926829,0.37109375,0.0043562272446419,0.0,0.0,0.0951017152002421,0.0,0.0,0.0035084792061759,0.0,0.0,0.981360192562352,0.0730966394531991,0.0307542894140498,0,1
121,0.0461183060955887,0.0,0.0,0.1144182291712493,0.0,0.0,0.0043178471500673,0.0,0.0,0.3145692869985887,0.0,0.0,0.0011460956505395,0.0,0.0,0.9002747565051211,0.0,0.0,0,1
132,0.062499717891469,0.0,0.0,0.1274464818350593,0.0,0.0,0.0065420504722771,0.0,0.4838709677419355,0.2807007740053058,0.8208955223880597,1.0,0.003033748843485,0.0,0.0,0.4551367223030105,0.3611163850389216,0.4851893816769181,0,2
151,0.0531059020821866,0.0,0.0,0.1205859062233289,0.0,0.0,0.0028669452295491,0.0,0.0,0.2053452683092265,0.8208955223880597,1.0,0.0015390163570432,0.0,0.0,0.9517350739896936,0.0,0.0,0,1
152,0.0531059020821866,0.0,0.0,0.0621384829260996,0.0,0.0,0.0028669452295491,0.0,0.0,0.2053452683092265,0.8208955223880597,1.0,0.0015390163570432,0.0,0.0,0.9517350739896936,0.0,0.0,0,1
174,0.0319352831081908,0.0,0.0,0.0167203021477655,0.0,0.0,0.0088276965499755,0.0,0.0,0.2217285908282543,0.0,0.0,0.0012258487061911,0.0,0.0,0.9906144509703866,0.0,0.0,0,1
175,0.1007629276732139,0.0,0.0,0.1371006484650647,0.8536585365853658,0.7421875,0.0088276965499755,0.0,0.0,0.2217285908282543,0.0,0.0,0.005520370202636,0.0,0.0,0.9906144509703866,0.0,0.0,0,1
190,0.1524627344587406,0.0,0.0,0.0817789675591493,0.0,0.0,0.0257902938298008,0.7627849661121381,0.4188428059395801,0.2131886762309038,0.0,0.0,0.4296452357380276,0.8398018166804293,0.918550106609808,0.9032089314565636,0.722042908676666,0.7024927160893494,0,1
